#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                         outfile|  2.14e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.54877510|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.77941673|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.98120777|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.80249005|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.57198255|  PASSED  
        diehard_opso|   0|   2097152|     100|0.06069838|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.95510614|  PASSED  
         diehard_dna|   0|   2097152|     100|0.03971686|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.77414652|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.41935816|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.85781782|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.74895447|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.18760881|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.73257406|  PASSED  
        diehard_sums|   0|       100|     100|0.00275359|   WEAK   
        diehard_runs|   0|    100000|     100|0.82013010|  PASSED  
        diehard_runs|   0|    100000|     100|0.48135972|  PASSED  
       diehard_craps|   0|    200000|     100|0.97155738|  PASSED  
       diehard_craps|   0|    200000|     100|0.09693446|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00005059|   WEAK   
 marsaglia_tsang_gcd|   0|  10000000|     100|0.66022485|  PASSED  
         sts_monobit|   1|    100000|     100|0.99833528|   WEAK   
            sts_runs|   2|    100000|     100|0.91014549|  PASSED  
          sts_serial|   1|    100000|     100|0.62224483|  PASSED  
          sts_serial|   2|    100000|     100|0.97595770|  PASSED  
          sts_serial|   3|    100000|     100|0.89801613|  PASSED  
          sts_serial|   3|    100000|     100|0.88173385|  PASSED  
          sts_serial|   4|    100000|     100|0.88745744|  PASSED  
          sts_serial|   4|    100000|     100|0.47002597|  PASSED  
          sts_serial|   5|    100000|     100|0.24707204|  PASSED  
          sts_serial|   5|    100000|     100|0.71193565|  PASSED  
          sts_serial|   6|    100000|     100|0.53063559|  PASSED  
          sts_serial|   6|    100000|     100|0.32639409|  PASSED  
          sts_serial|   7|    100000|     100|0.79369403|  PASSED  
          sts_serial|   7|    100000|     100|0.80912320|  PASSED  
          sts_serial|   8|    100000|     100|0.33488957|  PASSED  
          sts_serial|   8|    100000|     100|0.09273868|  PASSED  
          sts_serial|   9|    100000|     100|0.61606262|  PASSED  
          sts_serial|   9|    100000|     100|0.41645077|  PASSED  
          sts_serial|  10|    100000|     100|0.65926064|  PASSED  
          sts_serial|  10|    100000|     100|0.89462754|  PASSED  
          sts_serial|  11|    100000|     100|0.94670129|  PASSED  
          sts_serial|  11|    100000|     100|0.23192650|  PASSED  
          sts_serial|  12|    100000|     100|0.73252996|  PASSED  
          sts_serial|  12|    100000|     100|0.34304151|  PASSED  
          sts_serial|  13|    100000|     100|0.99775400|   WEAK   
          sts_serial|  13|    100000|     100|0.75714169|  PASSED  
          sts_serial|  14|    100000|     100|0.21401213|  PASSED  
          sts_serial|  14|    100000|     100|0.14954537|  PASSED  
          sts_serial|  15|    100000|     100|0.15998605|  PASSED  
          sts_serial|  15|    100000|     100|0.92992857|  PASSED  
          sts_serial|  16|    100000|     100|0.61520593|  PASSED  
          sts_serial|  16|    100000|     100|0.34524900|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.69219157|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.95635147|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.15191752|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.33015161|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.60204436|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.17041229|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.84927115|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.53348624|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.92334033|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.77723850|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.45873031|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.78519751|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.05885432|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.97676012|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.85905348|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.16155887|  PASSED  
    rgb_permutations|   2|    100000|     100|0.90727328|  PASSED  
    rgb_permutations|   3|    100000|     100|0.37270008|  PASSED  
    rgb_permutations|   4|    100000|     100|0.70287451|  PASSED  
    rgb_permutations|   5|    100000|     100|0.41462213|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.92572254|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.03402741|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.96122600|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.71953178|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.92706790|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.54483746|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.67795733|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.26595821|  PASSED  
